hour,timestamp,pv_real_kw,load_real_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,curtailed_kw,tariff,soc_kwh,violation,cost_diesel,cost_grid,cost_battery
10,2026-07-18 10:00:00-05:00,24.938806284707187,2.917800398155143,161.111,-183.13200588655204,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14610.560470924163,0.0
11,2026-07-18 11:00:00-05:00,24.71261653755087,2.8779530809525737,161.111,-182.94566345659828,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14595.653076527862,0.0
12,2026-07-18 12:00:00-05:00,23.392712916066596,2.8767261123823644,161.111,-181.62698680368422,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14490.158944294737,0.0
13,2026-07-18 13:00:00-05:00,22.809597027978796,2.8767124539450397,161.111,-181.04388457403374,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14443.5107659227,0.0
14,2026-07-18 14:00:00-05:00,21.092749343528983,2.8767291753661524,161.111,-179.32702016816282,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14306.161613453025,0.0
15,2026-07-18 15:00:00-05:00,16.251720050643595,2.8782288036604284,161.111,-174.48449124698317,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13918.759299758654,0.0
16,2026-07-18 16:00:00-05:00,10.597395680127795,2.9269310802413693,161.111,-168.78146459988642,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13462.517167990914,0.0
17,2026-07-18 17:00:00-05:00,5.422796328737102,3.488501965316195,161.111,-163.04529436342088,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13003.62354907367,0.0
18,2026-07-18 18:00:00-05:00,1.5424475220568967,5.618563256235194,161.111,-157.0348842658217,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12522.790741265735,0.0
19,2026-07-18 19:00:00-05:00,0.34854400187775875,7.397260273972603,260.377,-295.82828372790516,0.0,42.5,0.0,140.0,190.0,0,19848.468212900003,-41375.95972190672,0.85
20,2026-07-18 20:00:00-05:00,0.16919018162585098,5.618563256235194,252.878,-297.4286269253907,0.0,50.0,0.0,140.0,145.26315789473685,0,19088.6282884,-41600.00776955469,1.0
21,2026-07-18 21:00:00-05:00,0.11508921389253272,3.488501965316195,252.927,-299.5535872485763,0.0,50.0,0.0,140.0,92.63157894736842,0,19093.556732899997,-41897.50221480068,1.0
22,2026-07-18 22:00:00-05:00,0.1132053537745668,2.9269310802413693,161.111,-158.2972742735332,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12623.781941882655,0.0
23,2026-07-18 23:00:00-05:00,0.11782824789785995,2.8782288036603814,161.111,-158.35059944423745,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12628.047955538996,0.0
0,2026-07-19 00:00:00-05:00,0.23580347651205535,2.876712328851813,50.0,-47.35909114766024,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2091.1591016447105,0.0
1,2026-07-19 01:00:00-05:00,0.20713168739600352,2.8767123850971856,50.0,-47.330419302298814,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2089.8688686034466,0.0
2,2026-07-19 02:00:00-05:00,0.1798052345181765,2.876726112278856,50.0,-47.303079122239325,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2088.6385605007695,0.0
3,2026-07-19 03:00:00-05:00,0.1314161156822006,2.877953080952517,50.0,-34.09546303472968,13.158,0.0,0.0,45.0,130.0,0,2800.0,-1494.2958365628358,0.26316
4,2026-07-19 04:00:00-05:00,0.24975182836759033,2.917800398155143,50.0,-47.33195143021245,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2089.93781435956,0.0
5,2026-07-19 05:00:00-05:00,0.19346530545037346,3.3772674859436367,50.0,3.1838021804932626,50.0,0.0,0.0,45.0,142.5001,0,2800.0,183.2710981221968,1.0
6,2026-07-19 06:00:00-05:00,0.4645151103798885,5.120044905786454,161.111,-156.45547020459344,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12476.437616367475,0.0
7,2026-07-19 07:00:00-05:00,2.4786684630007354,6.575342465753426,161.111,-157.01432599724728,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12521.146079779783,0.0
8,2026-07-19 08:00:00-05:00,7.596132074640789,5.120044905786454,161.111,-163.58708716885434,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13046.966973508348,0.0
9,2026-07-19 09:00:00-05:00,10.249081103090608,3.3772674859436367,161.111,-167.98281361714697,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13398.625089371759,0.0
10,2026-07-19 10:00:00-05:00,15.24205353194638,2.917800398155143,161.111,-173.4352531337912,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13834.820250703297,0.0
11,2026-07-19 11:00:00-05:00,18.211637171193157,2.8779530809525737,161.111,-176.44468409024057,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14075.574727219246,0.0
12,2026-07-19 12:00:00-05:00,23.939597703828273,2.8767261123823644,161.111,-182.1738715914459,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14533.909727315673,0.0
13,2026-07-19 13:00:00-05:00,21.039742603333906,2.8767124539450397,161.111,-179.27403014938886,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14301.92241195111,0.0
14,2026-07-19 14:00:00-05:00,16.792722057424907,2.8767291753661524,161.111,-175.02699288205872,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13962.159430564698,0.0
15,2026-07-19 15:00:00-05:00,10.477465777281102,2.8782288036604284,161.111,-168.71023697362068,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13456.818957889654,0.0
16,2026-07-19 16:00:00-05:00,7.814580846949336,2.9269310802413693,161.111,-165.99864976670796,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13239.891981336637,0.0
17,2026-07-19 17:00:00-05:00,4.0697117368538285,3.488501965316195,161.111,-161.69220977153762,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12895.37678172301,0.0
18,2026-07-19 18:00:00-05:00,1.147093292933217,5.618563256235194,161.111,-156.639530036698,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12491.16240293584,0.0
19,2026-07-19 19:00:00-05:00,0.16255339630283347,7.397260273972603,260.377,-295.6422931223302,0.0,42.5,0.0,140.0,190.0,0,19848.468212900003,-41349.92103712623,0.85
20,2026-07-19 20:00:00-05:00,0.08396302401484607,5.618563256235194,252.878,-297.34339976777966,0.0,50.0,0.0,140.0,145.26315789473685,0,19088.6282884,-41588.07596748915,1.0
21,2026-07-19 21:00:00-05:00,0.2681847443472885,3.488501965316195,252.927,-299.7066827790311,0.0,50.0,0.0,140.0,92.63157894736842,0,19093.556732899997,-41918.93558906436,1.0
22,2026-07-19 22:00:00-05:00,0.3829165475386391,2.9269310802413693,161.111,-158.56698546729726,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12645.358837383781,0.0
23,2026-07-19 23:00:00-05:00,0.11434794916691393,2.8782288036603814,161.111,-158.34711914550653,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12627.769531640522,0.0
0,2026-07-20 00:00:00-05:00,0.07904921617108922,2.876712328851813,50.0,-47.20233688731928,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2084.1051599293673,0.0
1,2026-07-20 01:00:00-05:00,0.11279472896556804,2.8767123850971856,50.0,-47.23608234386838,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2085.6237054740773,0.0
2,2026-07-20 02:00:00-05:00,0.06528317800186607,2.876726112278856,50.0,-47.188557065723,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2083.485067957535,0.0
3,2026-07-20 03:00:00-05:00,0.19199050198874693,2.877953080952517,50.0,-34.15603742103623,13.158,0.0,0.0,45.0,130.0,0,2800.0,-1497.0216839466304,0.26316
4,2026-07-20 04:00:00-05:00,0.2562026970258235,2.917800398155143,50.0,-47.338402298870676,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2090.2281034491803,0.0
5,2026-07-20 05:00:00-05:00,0.27241207220231684,3.3772674859436367,50.0,3.1048554137413222,50.0,0.0,0.0,45.0,142.5001,0,2800.0,179.7184936183595,1.0
6,2026-07-20 06:00:00-05:00,0.4997338160745158,5.120044905786454,161.111,-156.49068891028807,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12479.255112823046,0.0
7,2026-07-20 07:00:00-05:00,3.208267929352361,6.575342465753426,161.111,-157.7439254635989,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12579.514037087913,0.0
8,2026-07-20 08:00:00-05:00,8.50847080571309,5.120044905786454,161.111,-164.49942589992665,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13119.954071994132,0.0
9,2026-07-20 09:00:00-05:00,12.970463127562864,3.3772674859436367,161.111,-170.7041956416192,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13616.335651329537,0.0
10,2026-07-20 10:00:00-05:00,25.366777513940136,2.917800398155143,161.111,-183.55997711578496,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14644.798169262796,0.0
11,2026-07-20 11:00:00-05:00,28.048945386743792,2.8779530809525737,161.111,-186.2819923057912,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14862.559384463295,0.0
12,2026-07-20 12:00:00-05:00,27.48562224905209,2.8767261123823644,161.111,-185.71989613666972,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14817.591690933577,0.0
13,2026-07-20 13:00:00-05:00,23.562177114058333,2.8767124539450397,161.111,-181.7964646601133,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14503.717172809063,0.0
14,2026-07-20 14:00:00-05:00,20.992054748825115,2.8767291753661524,161.111,-179.22632557345895,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14298.106045876717,0.0
15,2026-07-20 15:00:00-05:00,15.095317701226199,2.8782288036604284,161.111,-173.32808889756578,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13826.247111805262,0.0
16,2026-07-20 16:00:00-05:00,9.031378094962287,2.9269310802413693,161.111,-167.21544701472092,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13337.235761177673,0.0
17,2026-07-20 17:00:00-05:00,4.903597695801307,3.488501965316195,161.111,-162.52609573048508,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12962.087658438806,0.0
18,2026-07-20 18:00:00-05:00,0.8068208011557091,5.618563256235194,161.111,-156.2992575449205,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12463.940603593639,0.0
19,2026-07-20 19:00:00-05:00,0.42598615374403104,7.397260273972603,260.377,-295.9057258797714,0.0,42.5,0.0,140.0,190.0,0,19848.468212900003,-41386.801623167994,0.85
20,2026-07-20 20:00:00-05:00,0.18803861210951323,5.618563256235194,252.878,-297.44747535587436,0.0,50.0,0.0,140.0,145.26315789473685,0,19088.6282884,-41602.64654982241,1.0
21,2026-07-20 21:00:00-05:00,0.15460341754403162,3.488501965316195,252.927,-299.5931014522278,0.0,50.0,0.0,140.0,92.63157894736842,0,19093.556732899997,-41903.034203311894,1.0
22,2026-07-20 22:00:00-05:00,0.11553669019956055,2.9269310802413693,161.111,-158.29960560995818,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12623.968448796655,0.0
23,2026-07-20 23:00:00-05:00,0.25385287533049233,2.8782288036603814,161.111,-158.4866240716701,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12638.929925733608,0.0
0,2026-07-21 00:00:00-05:00,0.10647369349811968,2.876712328851813,50.0,-34.071761364646306,13.158,0.0,0.0,45.0,130.0,0,2800.0,-1493.2292614090838,0.26316
1,2026-07-21 01:00:00-05:00,0.17746525165929328,2.8767123850971856,50.0,-47.30075286656211,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2088.533878995295,0.0
2,2026-07-21 02:00:00-05:00,0.11605066827647577,2.876726112278856,50.0,-47.23932455599763,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2085.7696050198933,0.0
3,2026-07-21 03:00:00-05:00,0.3867322386210092,2.877953080952517,50.0,-47.50877915766849,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2097.8950620950823,0.0
4,2026-07-21 04:00:00-05:00,0.1619220713475392,2.917800398155143,50.0,-47.244121673192396,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2085.9854752936576,0.0
5,2026-07-21 05:00:00-05:00,0.15871086851328498,3.3772674859436367,50.0,3.218556617430355,50.0,0.0,0.0,45.0,142.5001,0,2800.0,184.83504778436597,1.0
6,2026-07-21 06:00:00-05:00,0.3485318791879286,5.120044905786454,161.111,-156.33948697340148,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12467.158957872118,0.0
7,2026-07-21 07:00:00-05:00,3.8025009431000893,6.575342465753426,161.111,-158.33815847734664,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12627.05267818773,0.0
8,2026-07-21 08:00:00-05:00,9.427949275236353,5.120044905786454,161.111,-165.4189043694499,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13193.512349555993,0.0
9,2026-07-21 09:00:00-05:00,13.553926477759449,3.3772674859436367,161.111,-171.28765899181582,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13663.012719345264,0.0
10,2026-07-21 10:00:00-05:00,26.982496669182737,2.917800398155143,161.111,-185.1756962710276,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14774.055701682208,0.0
11,2026-07-21 11:00:00-05:00,28.21760433832064,2.8779530809525737,161.111,-186.45065125736807,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14876.052100589444,0.0
12,2026-07-21 12:00:00-05:00,27.24439121932269,2.8767261123823644,161.111,-185.47866510694033,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14798.293208555226,0.0
13,2026-07-21 13:00:00-05:00,26.928034824924282,2.8767124539450397,161.111,-185.16232237097924,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14772.98578967834,0.0
14,2026-07-21 14:00:00-05:00,23.528088462975205,2.8767291753661524,161.111,-181.76235928760903,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14500.988743008722,0.0
15,2026-07-21 15:00:00-05:00,20.162100025224508,2.8782288036604284,161.111,-178.39487122156407,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14231.589697725125,0.0
16,2026-07-21 16:00:00-05:00,14.16513441415079,2.9269310802413693,161.111,-172.34920333390943,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13747.936266712753,0.0
17,2026-07-21 17:00:00-05:00,6.688357579730822,3.488501965316195,161.111,-164.3108556144146,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13104.868449153168,0.0
18,2026-07-21 18:00:00-05:00,1.180201602961559,5.618563256235194,161.111,-156.67263834672633,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12493.811067738106,0.0
19,2026-07-21 19:00:00-05:00,0.19851515081933038,7.397260273972603,260.377,-295.6782548768467,0.0,42.5,0.0,140.0,190.0,0,19848.468212900003,-41354.95568275854,0.85
20,2026-07-21 20:00:00-05:00,0.19521915618602315,5.618563256235194,252.878,-297.45465589995086,0.0,50.0,0.0,140.0,145.26315789473685,0,19088.6282884,-41603.65182599312,1.0
21,2026-07-21 21:00:00-05:00,0.2905875845794315,3.488501965316195,252.927,-299.72908561926323,0.0,50.0,0.0,140.0,92.63157894736842,0,19093.556732899997,-41922.07198669685,1.0
22,2026-07-21 22:00:00-05:00,0.33093891605602854,2.9269310802413693,161.111,-158.51500783581466,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12641.200626865173,0.0
23,2026-07-21 23:00:00-05:00,0.11491448741341188,2.8782288036603814,161.111,-158.347685683753,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12627.814854700242,0.0
0,2026-07-22 00:00:00-05:00,0.2683939873936347,2.876712328851813,50.0,-34.233681658541826,13.158,0.0,0.0,45.0,130.0,0,2800.0,-1500.515674634382,0.26316
1,2026-07-22 01:00:00-05:00,0.3092840521957635,2.8767123850971856,50.0,-47.43257166709858,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2094.465725019436,0.0
2,2026-07-22 02:00:00-05:00,0.09430579273420377,2.876726112278856,50.0,-47.217579680455344,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2084.7910856204903,0.0
3,2026-07-22 03:00:00-05:00,0.2881391221042023,2.877953080952517,50.0,-47.41018604115169,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2093.458371851826,0.0
4,2026-07-22 04:00:00-05:00,0.06424514263342353,2.917800398155143,50.0,-47.14644474447828,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2081.5900135015227,0.0
5,2026-07-22 05:00:00-05:00,0.20416909785750503,3.3772674859436367,50.0,3.1730983880861348,50.0,0.0,0.0,45.0,142.5001,0,2800.0,182.78942746387605,1.0
6,2026-07-22 06:00:00-05:00,0.33181412879443467,5.120044905786454,161.111,-156.32276922300798,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12465.821537840638,0.0
7,2026-07-22 07:00:00-05:00,3.945707743095159,6.575342465753426,161.111,-158.48136527734172,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12638.509222187338,0.0
8,2026-07-22 08:00:00-05:00,8.977380330981857,5.120044905786454,161.111,-164.9683354251954,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13157.466834015631,0.0
9,2026-07-22 09:00:00-05:00,12.035896873486221,3.3772674859436367,161.111,-169.76962938754258,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13541.570351003407,0.0
10,2026-07-22 10:00:00-05:00,24.130655986899658,2.917800398155143,161.111,-182.3238555887445,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14545.908447099559,0.0
11,2026-07-22 11:00:00-05:00,28.760985117400406,2.8779530809525737,161.111,-186.9940320364478,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14919.522562915825,0.0
12,2026-07-22 12:00:00-05:00,28.32259919377543,2.8767261123823644,161.111,-186.55687308139306,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14884.549846511445,0.0
13,2026-07-22 13:00:00-05:00,26.599811811143454,2.8767124539450397,161.111,-184.83409935719843,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14746.727948575874,0.0
14,2026-07-22 14:00:00-05:00,24.501723406974936,2.8767291753661524,161.111,-182.73599423160877,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14578.879538528701,0.0
15,2026-07-22 15:00:00-05:00,19.66228430183777,2.8782288036604284,161.111,-177.89505549817733,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14191.604439854185,0.0
16,2026-07-22 16:00:00-05:00,11.844159541097872,2.9269310802413693,161.111,-170.0282284608565,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13562.25827686852,0.0
17,2026-07-22 17:00:00-05:00,5.312259044050618,3.488501965316195,161.111,-162.9347570787344,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12994.780566298752,0.0
18,2026-07-22 18:00:00-05:00,1.2379322738789456,5.618563256235194,161.111,-156.73036901764374,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12498.429521411499,0.0
19,2026-07-22 19:00:00-05:00,0.12380786975699738,7.397260273972603,260.377,-295.6035475957844,0.0,42.5,0.0,140.0,190.0,0,19848.468212900003,-41344.49666340982,0.85
20,2026-07-22 20:00:00-05:00,0.124568276356397,5.618563256235194,252.878,-297.3840050201212,0.0,50.0,0.0,140.0,145.26315789473685,0,19088.6282884,-41593.760702816966,1.0
21,2026-07-22 21:00:00-05:00,0.130411300739847,3.488501965316195,252.927,-299.56890933542365,0.0,50.0,0.0,140.0,92.63157894736842,0,19093.556732899997,-41899.64730695931,1.0
22,2026-07-22 22:00:00-05:00,0.17466877327774044,2.9269310802413693,161.111,-158.35873769303637,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12628.69901544291,0.0
23,2026-07-22 23:00:00-05:00,0.20006297459945444,2.8782288036603814,161.111,-158.43283417093906,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12634.626733675124,0.0
0,2026-07-23 00:00:00-05:00,0.04736554292959386,2.876712328851813,50.0,-47.17065321407779,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2082.6793946335006,0.0
1,2026-07-23 01:00:00-05:00,0.16091165280036243,2.8767123850971856,50.0,-47.28419926770318,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2087.788967046643,0.0
2,2026-07-23 02:00:00-05:00,0.2406664639331971,2.876726112278856,50.0,-34.205940351654334,13.158,0.0,0.0,45.0,130.0,0,2800.0,-1499.267315824445,0.26316
3,2026-07-23 03:00:00-05:00,0.2852592450340727,2.877953080952517,50.0,-47.407306164081554,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2093.32877738367,0.0
4,2026-07-23 04:00:00-05:00,0.23281127276475208,2.917800398155143,50.0,2.6849891253903935,50.0,0.0,0.0,45.0,142.5001,0,2800.0,160.8245106425677,1.0
5,2026-07-23 05:00:00-05:00,0.06628791340017874,3.3772674859436367,50.0,-46.68902042745655,0.0,0.0,0.0,45.0,190.0,0,2800.0,-2061.0059192355448,0.0
6,2026-07-23 06:00:00-05:00,0.20636736776557185,5.120044905786454,161.111,-156.19732246197913,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12455.785796958331,0.0
7,2026-07-23 07:00:00-05:00,1.9576435109276373,6.575342465753426,161.111,-156.49330104517418,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12479.464083613933,0.0
8,2026-07-23 08:00:00-05:00,5.51378371285172,5.120044905786454,161.111,-161.50473880706528,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12880.379104565221,0.0
9,2026-07-23 09:00:00-05:00,8.152179608374313,3.3772674859436367,161.111,-165.88591212243068,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13230.872969794455,0.0
10,2026-07-23 10:00:00-05:00,15.590286870366825,2.917800398155143,161.111,-173.78348647221165,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13862.678917776931,0.0
11,2026-07-23 11:00:00-05:00,18.227768870507987,2.8779530809525737,161.111,-176.4608157895554,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14076.865263164433,0.0
12,2026-07-23 12:00:00-05:00,19.24210446448914,2.8767261123823644,161.111,-177.47637835210676,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14158.11026816854,0.0
13,2026-07-23 13:00:00-05:00,20.679479364998567,2.8767124539450397,161.111,-178.91376691105353,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14273.101352884281,0.0
14,2026-07-23 14:00:00-05:00,20.052622782742105,2.8767291753661524,161.111,-178.28689360737593,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14222.951488590075,0.0
15,2026-07-23 15:00:00-05:00,15.99210368511123,2.8782288036604284,161.111,-174.2248748814508,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13897.989990516064,0.0
16,2026-07-23 16:00:00-05:00,10.454098735906259,2.9269310802413693,161.111,-168.6381676556649,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13451.053412453191,0.0
17,2026-07-23 17:00:00-05:00,4.738043892332919,3.488501965316195,161.111,-162.3605419270167,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12948.843354161336,0.0
18,2026-07-23 18:00:00-05:00,1.2838660606599859,5.618563256235194,161.111,-156.77630280442477,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12502.104224353981,0.0
19,2026-07-23 19:00:00-05:00,0.10139546299112824,7.397260273972603,260.377,-295.58113518901854,0.0,42.5,0.0,140.0,190.0,0,19848.468212900003,-41341.3589264626,0.85
20,2026-07-23 20:00:00-05:00,0.23536258944745791,5.618563256235194,252.878,-297.49479933321226,0.0,50.0,0.0,140.0,145.26315789473685,0,19088.6282884,-41609.271906649716,1.0
21,2026-07-23 21:00:00-05:00,0.05567090532128096,3.488501965316195,252.927,-299.49416894000507,0.0,50.0,0.0,140.0,92.63157894736842,0,19093.556732899997,-41889.18365160071,1.0
22,2026-07-23 22:00:00-05:00,0.20335682464942725,2.9269310802413693,161.111,-158.38742574440806,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12630.994059552646,0.0
23,2026-07-23 23:00:00-05:00,0.2967764474412126,2.8782288036603814,161.111,-158.5295476437808,0.0,0.0,0.0,80.0,40.0,0,10701.2254321,-12642.363811502464,0.0
0,2026-07-24 00:00:00-05:00,0.0736756991456922,2.876712328851813,50.0,-47.196963370293886,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2083.863351663225,0.0
1,2026-07-24 01:00:00-05:00,0.1797864066481685,2.8767123850971856,50.0,-34.14507402155098,13.158,0.0,0.0,45.0,130.0,0,2800.0,-1496.5283309697943,0.26316
2,2026-07-24 02:00:00-05:00,0.2302754810461621,2.876726112278856,50.0,-47.353549368767304,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2090.9097215945285,0.0
3,2026-07-24 03:00:00-05:00,0.30586905534922765,2.877953080952517,50.0,-47.42791597439671,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2094.256218847852,0.0
4,2026-07-24 04:00:00-05:00,0.06465588801072078,2.917800398155143,50.0,-47.146855489855575,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2081.608497043501,0.0
5,2026-07-24 05:00:00-05:00,0.11691680920720082,3.3772674859436367,50.0,3.2603506767364325,50.0,0.0,0.0,45.0,142.5001,0,2800.0,186.71578045313947,1.0
6,2026-07-24 06:00:00-05:00,0.4718726697028532,5.120044905786454,161.111,-156.4628277639164,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12477.026221113312,0.0
